,Links,Name,Rating,Cuisines,Reviews,Avg waiting time,Cost / Person
141,https://www.zomato.com/nagpur/orbiyo-natural-icecreams-sadar/order,Orbiyo Natural Icecreams,3.8,['Ice Cream'],Not,31,150
142,https://www.zomato.com/nagpur/the-highway-smokehouse-wardha-road/order,The Highway Smokehouse,3.5,"['North Indian', ' Chinese', ' BBQ', ' Mughlai']",51,45,250
143,https://www.zomato.com/nagpur/food-craving-1-wardhaman-nagar/order,Food Craving,4.2,"['Sandwich', ' Fast Food']",301,52,100
144,https://www.zomato.com/nagpur/baron-kitchen-1-ayodhya-nagar/order,Baron Kitchen,3.3,['North Indian'],Not,44,150
145,https://www.zomato.com/nagpur/saoji-thath-gandhibagh/order,Saoji Thath,3.8,['Maharashtrian'],367,30,100
146,https://www.zomato.com/nagpur/shadows-a-food-republic-dharampeth/order,Shadows - A Food Republic,4.3,"['Fast Food', ' North Indian', ' Chinese', ' Pasta']",136,31,200
147,https://www.zomato.com/nagpur/the-goldys-cafe-bajaj-nagar/order,The Goldy's Cafe,3.4,"['Burger', ' Beverages', ' Pizza', ' Rolls', ' Sandwich', ' Fast Food']",20,33,200
148,https://www.zomato.com/nagpur/cheesinos-nandanvan/order,Cheesino's,4.2,"['Pizza', ' Sandwich', ' Beverages']",398,41,150
149,https://www.zomato.com/nagpur/haji-babbu-biryani-center-nandanvan/order,Haji Babbu Biryani Center,3.5,"['Biryani', ' Hyderabadi', ' North Indian']",505,40,150
150,https://www.zomato.com/nagpur/cafe-freezing-point-pratap-nagar/order,Cafe Freezing Point,3.5,"['Bakery', ' Ice Cream', ' Fast Food', ' Pizza']",856,37,100
151,https://www.zomato.com/nagpur/brussels-waffles-dharampeth/order,Brussels' Waffles,4.0,"['Desserts', ' Beverages']",105,34,200
152,https://www.zomato.com/nagpur/food-town-ayodhya-nagar/order,Food Town,3.9,['North Indian'],176,37,100
153,https://www.zomato.com/nagpur/prime-cake-and-pastry-wardha-road/order,Prime Cake And Pastry,4.1,"['Desserts', ' Bakery']",1325,29,250
154,https://www.zomato.com/nagpur/arun-ice-creams-pratap-nagar/order,Arun Ice Creams,,['Ice Cream'],-99,37,50
155,https://www.zomato.com/nagpur/cheesinos-nandanvan/order,Cheesino's,4.2,"['Pizza', ' Sandwich', ' Beverages']",398,41,150
156,https://www.zomato.com/nagpur/haji-babbu-biryani-center-nandanvan/order,Haji Babbu Biryani Center,3.5,"['Biryani', ' Hyderabadi', ' North Indian']",505,40,150
157,https://www.zomato.com/nagpur/cafe-freezing-point-pratap-nagar/order,Cafe Freezing Point,3.5,"['Bakery', ' Ice Cream', ' Fast Food', ' Pizza']",856,37,100
158,https://www.zomato.com/nagpur/brussels-waffles-dharampeth/order,Brussels' Waffles,4.0,"['Desserts', ' Beverages']",105,34,200
159,https://www.zomato.com/nagpur/food-town-ayodhya-nagar/order,Food Town,3.9,['North Indian'],176,37,100
160,https://www.zomato.com/nagpur/prime-cake-and-pastry-wardha-road/order,Prime Cake And Pastry,4.1,"['Desserts', ' Bakery']",1325,29,250
161,https://www.zomato.com/nagpur/arun-ice-creams-pratap-nagar/order,Arun Ice Creams,,['Ice Cream'],-99,37,50
162,https://www.zomato.com/nagpur/saladarian-sadar/order,Saladarian,4.3,"['Salad', ' Sandwich', ' Healthy Food']",1860,43,200
163,https://www.zomato.com/nagpur/gurpal-foods-pachpaoli/order,Gurpal Foods,4.0,"['North Indian', ' Chinese', ' Rolls', ' Kebab', ' Seafood']",3909,35,200
164,https://www.zomato.com/nagpur/anna-action-south-indian-restaurant-ayodhya-nagar/order,Anna Action South Indian Restaurant,2.8,['South Indian'],145,44,150
165,https://www.zomato.com/nagpur/gharchi-rasoi-ayodhya-nagar/order,Gharchi Rasoi,3.6,['North Indian'],399,60,150
166,https://www.zomato.com/nagpur/venkateswara-south-indian-restaurant-dharampeth/order,Venkateswara South Indian Restaurant,3.9,['South Indian'],157,34,100
167,https://www.zomato.com/nagpur/hunger-food-jaripatka/order,Hunger Food,3.7,"['Fast Food', ' Chinese', ' Street Food', ' Beverages']",58,30,100
168,https://www.zomato.com/nagpur/night-world-popular-cafe-dharampeth/order,Night World Popular Cafe,3.4,"['Burger', ' Pizza', ' Sandwich', ' Fast Food', ' Beverages']",8069,47,150
169,https://www.zomato.com/nagpur/tikhat-meeth-bajaj-nagar/order,Tikhat Meeth,3.8,"['North Indian', ' Chinese']",113,44,400
170,https://www.zomato.com/nagpur/lakhan-pan-mandir-gandhibagh/order,Lakhan Pan Mandir,3.9,"['Paan', ' Beverages']",54,27,50
171,https://www.zomato.com/nagpur/madan-chinese-jaripatka/order,Madan Chinese,3.5,"['Chinese', ' Fast Food']",935,31,150
